experiment,NSC-Control,RSC-Control,NSC-ENCODE,RSC-ENCODE,NSC-50Percent,RSC-50Percent,NSC-ENCODEplusPeakPass,RSC-ENCODEplusPeakPass
ENCFF587ARB,1.08995693225515,0.90827257460307,1.09048441456687,0.921265665432391,1.09228022482753,0.955463166748763,1.09233378156983,0.955397330428092
ENCFF616NXH,1.05251056205402,0.905692258432548,1.05136737552137,0.968299248537335,1.05187920880467,1.25204552437458,1.05226278065715,1.28919941777076
ENCFF616RGW,1.24475662440297,1.57188739356654,1.24649403165199,1.58670587326565,1.25283304903485,1.61004201296754,1.25404279806976,1.60967465982195
ENCFF619FIE,1.41157399973441,1.71964075153533,1.41984269529164,1.74219282611537,1.42338407714773,1.7885811810508,1.43619376255437,1.79151144229226
ENCFF629GVZ,1.05088082434843,0.758208695357467,1.0486650226583,0.829693755429898,1.04879771670724,1.0633842214686,1.04901508904314,1.08552206758237
ENCFF693OEL,1.12067975599513,0.934630323456034,1.12160406141297,0.950133013288367,1.12240318674478,1.10785927926754,1.12942899985642,1.12704049964026
ENCFF693TLQ,1.0240323392962,0.496101350496347,1.02995164686447,0.517784020829235,1.03073219309207,0.696015945583717,1.0304572895394,0.708271709279517
ENCFF701DUO,1.05874987482831,1.02863510608947,1.05778562855976,1.08141687987341,1.06387555978365,1.25552409183173,1.05990140640066,1.18214758357372
ENCFF701IFH,1.07436617223454,0.68252776886463,1.07546081273004,0.714988482031144,1.07317945670194,0.813898652406917,1.0759935796302,0.819561456854825
ENCFF706HJC,1.05686386890463,0.668904223701162,1.0567904816885,0.706487909697219,1.05841710158967,0.839703097777052,1.0580012039047,0.84599274240888
ENCFF723TFB,2.33435254483305,2.10169706193626,2.35994217855217,2.11649346180106,2.52805937798182,2.14681937597003,2.44177938601751,2.13559298120167
ENCFF732ZCF,1.1206150905283,2.21156012501126,1.12570944127668,2.23972899696925,1.12321457586829,2.27455605561763,1.13013666938702,2.28172249206639
ENCFF743AGP,1.04952388053272,0.539083376729288,1.04871601105918,0.60154224896926,1.04953518879598,0.78513839664033,1.04903949905566,0.799264862181109
ENCFF751NUI,1.03956076475075,1.08424505260918,1.04725755975492,0.611123965471214,1.03976931093051,1.53130583539251,1.04175907667438,1.36992435811577
ENCFF757VQN,1.05960851298085,1.33661318274514,1.05926531381021,1.46797649442696,1.06415810934117,2.29164364209256,1.06226750275937,1.8906915036243
ENCFF772VSQ,1.40969781970524,1.9931594341431,1.41136074220026,2.00098158103596,1.4206554273457,2.00222549335638,1.42780125770043,2.00367324643558
ENCFF774XWQ,1.05109633299237,0.480931038220007,1.05267967463322,0.507886221428092,1.04889033686561,0.595321996897449,1.05188088092446,0.607527001905982
ENCFF793MBH,1.09116181016,4.14112568972633,1.14408623057623,2.57379952903909,1.10034211176045,3.35635270554981,1.10205861982046,3.37301195787812
ENCFF807KJE,1.11590056011993,1.27931215601327,1.11678113277427,1.29790093359565,1.12314210051816,1.3105450150309,1.12181142018674,1.32741117127703
ENCFF817LMJ,1.13484841136204,1.34099719707237,1.1343892829033,1.39033879127203,1.13600618393479,1.5938897973254,1.13900528035697,1.60406324840438
ENCFF822ESO,1.66951040839907,2.18246836298717,1.69324280352661,2.20695421635063,1.72165585127986,2.3315326810963,1.75624752131667,2.34544372399519
ENCFF826ECD,1.02915234182488,0.91528124102816,1.02763295506995,0.917163033382204,1.02935668520859,1.03739769474435,1.02843431560455,1.01281541064421
ENCFF839ARD,1.05255891085748,0.945999248968668,1.05231473972195,0.989967805521166,1.08007134678175,1.12753665409659,1.05313726345247,1.08948496969179
ENCFF852FET,1.08313054389509,3.95575510168897,1.17119032714306,2.35453241537579,1.08559864274246,4.06860814536777,1.08731252747159,4.09849773591579
ENCFF861AUH,2.22302102099204,1.37577071598025,2.22647164256452,1.37587141014076,2.26270238078361,1.37734011213429,2.28603047143106,1.37718750657954
ENCFF861CNC,2.50655702393338,1.49632268042413,2.53571220662237,1.50283666297965,2.58875989009436,1.52397228340266,2.63254163539572,1.52708368733993
ENCFF873CGO,1.26063527297411,2.12250299738762,1.26166628574533,2.13206516543185,1.26738091249676,2.13166796067656,1.27235842362697,2.13189540731991
ENCFF877JAH,1.13993984686641,0.767538617133094,1.14723806794837,0.812643315960403,1.14266073984743,0.930439603745408,1.15313892574701,0.94500093434761
ENCFF880WAM,1.37375352274532,2.0991274501057,1.37809909676732,2.22382123727961,1.36619642025852,2.4749190384493,1.40132351015031,2.30582131400685
ENCFF898NMW,1.17137764762173,2.25601381211131,1.28284498423974,2.28720138317691,1.17597190317581,2.33547106325047,1.17634571923931,2.34215679882355
ENCFF900RPG,1.05247346488639,0.708382912539666,1.05117489985869,0.644097415902402,1.05162781554068,0.981381271301403,1.05176293090359,0.99880307342
ENCFF900VKF,1.01448792978498,0.432439258536325,1.01416752584255,0.463107596149338,1.02849308405018,0.306192191208971,1.01415831207471,0.600412379387221
ENCFF919IIQ,1.03508076862988,0.764435685218674,1.03562803042111,0.816254898296194,1.038330027537,0.934732103963992,1.037022464193,1.04635235907722
ENCFF921UWK,1.12146647583759,1.89614220081164,1.12502720226421,2.0315092983509,1.12570427325983,2.00806639496707,1.12917118510895,2.13636746114916
ENCFF953GCB,1.12196672187332,2.21414762192402,1.12929600440284,2.23775526941756,1.14836994809447,1.93488717727277,1.13362582330578,2.27268955195754
