treatment, sampleId,NSC,RSC, SSD, NRF, FRiP, PeakWidthSD, ReadsPerPeakSD, FractionLongPromoter20000to2000, FractionPromoter2000to500, FractionPromoter500, FractionAllTranscripts, FractionAllIntrons
ENCODE,ENCFF221QCF,1.14564503365453,1.79031488001658,0.228267044386166,0.153579742503778,0.046124682352458,99.3437941751508,37.6109415090822,0.258439217655576,0.035870353317309,0.023810093349825,0.599552037568397,0.565520323069295
ENCODE,ENCFF226SIV,1.01783219362732,0.210496581716308,0.440334512051557,0.017809530587982,0.001337403478988,0,306.171834855049,0.218483580193723,0.02319178221706,0.008069816568625,0.526804147899436,0.509342927685008
ENCODE,ENCFF248TCM,1.10047753721169,1.28472105763219,0.202917584717584,0.182990450309474,0.027489402297715,73.2163489455006,41.6301658564013,0.228620286426911,0.024399635541477,0.007829170997718,0.568955798717729,0.549120715746165
ENCODE,ENCFF280WMP,1.16100219701312,0.908613727581178,0.133302822795961,0.033810184743032,0.010010184882456,45.5242111091127,86.3679490942911,0.265245709417844,0.032445229243509,0.016314773517075,0.580285804114246,0.552214567100669
ENCODE,ENCFF337IBI,3.76085407365402,1.44331458118517,0.465265032634322,0.181833590729671,0.214591411047097,41.712873552561,81.5848210973106,0.302167671057634,0.041389951502695,0.038651895614034,0.597451212207017,0.554523792333613
ENCODE,ENCFF369TPH,1.02301755658239,0.394255089591091,0.144151046987902,0.04070677533243,0.001310001022731,30.0571891275221,92.068406994821,0.226791663032975,0.022883002775915,0.00741251243419,0.549882028939406,0.529808292182823
ENCODE,ENCFF506MFX,1.69012458973339,1.23761919783552,0.299176645792712,0.11237639510871,0.080756281123127,4.38071650475864,31.5287870879945,0.25754705700803,0.030185319365579,0.017150572877684,0.562370062435792,0.535123507988431
ENCODE,ENCFF534VEA,1.08156088625655,0.792865348709145,0.173547019301506,0.009073780117955,0.008115124687582,75.4760833775707,21.275246838066,0.29212513066708,0.034758195998469,0.017915370750362,0.594968618391902,0.558974408610477
ENCODE,ENCFF559SXA,1.05191487966719,1.27484856994313,0.519418062615386,0.158423236531731,0.024563105348887,150.852625759262,601.049825321266,0.241431336776134,0.028371855782229,0.014585752801257,0.575555077309812,0.551701019530482
ENCODE,ENCFF568ZAY,1.04872885384712,0.931623948707675,0.179312985249151,0.216816271250959,0.007051230267579,407.164843073646,725.849956424913,0.265000995332756,0.029159553386598,0.009253866037754,0.596079612103838,0.56937377910441
