treatment, sampleId, SSD, NRF, FRiP, PeakWidthSD, ReadsPerPeakSD, FractionLongPromoter20000to2000, FractionPromoter2000to500, FractionPromoter500, FractionAllTranscripts, FractionAllIntrons
ENCODE,ENCFF061DUL,0.251592944019914,0.0271106462848362,0.00991664863565159,62.0526350643357,128.706668784281,0.295950153285918,0.0396946441270424,0.0203153814306112,0.62054486028596,0.584410489185475
control,ENCFF061RFH,0.255296909419387,0.0279121964745129,0.00946932040238735,62.0526350643357,118.514332835653,0.303835498935072,0.0410128113016971,0.0223581334073269,0.627902686459002,0.590984231096855
ENCODE,ENCFF061RFH,0.252841231085861,0.0277999777374006,0.00947458625909136,62.0526350643357,118.514332835653,0.304000880868227,0.0410356183858558,0.0223705666888813,0.628250087750575,0.59131110216161
control,ENCFF629GVZ,0.567928934395278,0.223167925680177,0.00542004078075585,34.516635213905,353.457270113282,0.265424964838418,0.0319895101464894,0.0135354312840634,0.579498093280177,0.553053038226579
ENCODE,ENCFF221QCF,0.228267044386166,0.153579742503778,0.0461246823524575,99.3437941751508,37.6109415090822,0.258439217655576,0.0358703533173092,0.0238100933498251,0.599552037568397,0.565520323069295
control,ENCFF221QCF,0.323243196130598,0.153283517815983,0.0459978807516283,99.3437941751508,37.6109415090822,0.257747511284167,0.0357717419450251,0.0237446369000748,0.597922035266028,0.563983877527805
PeakPass,ENCFF221QCF,0.213614457436838,0.155314084721958,0.0471606014940451,99.3437941751508,35.8870699439695,0.261641556150322,0.0364654372593506,0.0243037943666458,0.613927175604318,0.579175312503133
ENCODE,ENCFF629GVZ,0.553123389024083,0.223332254008309,0.00542777307293717,34.516635213905,353.457270113282,0.265774116402345,0.0320351467476139,0.0135547410851741,0.580301517104619,0.55381873523296
PeakPass,ENCFF188YBS,0.139654467269374,0.0277843205693285,0.00394585186553293,40.9689484321709,34.685508968547,0.2463989656496,0.0292627854869223,0.0136904035445024,0.602104383709011,0.574091332359443
control,ENCFF188YBS,0.249673746106578,0.0282278751126295,0.00381643622107415,40.9689484321709,34.6862107449013,0.241523791716073,0.0285959121191126,0.0133553321583362,0.583770628744883,0.556501800572224
ENCODE,ENCFF188YBS,0.152014931352167,0.0281713799738207,0.00382849262991319,40.9689484321709,34.6862107449013,0.242281132884506,0.0286862487545657,0.0133975226563178,0.585609813856883,0.558254841406693
PeakPass,ENCFF629GVZ,0.397960184723932,0.226823002781223,0.00474173091114217,34.516635213905,139.440321516459,0.272086066131015,0.0329158419204844,0.0140060449057231,0.602912832981647,0.575518251333085
control,ENCFF826ECD,0.252679853722141,0.0347017902090336,0.00361265137510606,40.9689484321709,34.358780342348,0.241393345634674,0.0284289703794877,0.0130447177666566,0.583043608861554,0.556167955361684
PeakPass,ENCFF826ECD,0.140275098289331,0.0344372634228879,0.00373557649560386,40.9689484321709,34.3591379732839,0.246282623856509,0.0290951488041746,0.0133723882860922,0.601371200612411,0.573759398815637
control,ENCFF616NXH,0.444387990792099,0.20954103725713,0.005249635273167,34.516635213905,246.317985590555,0.269461408144032,0.0329024283699306,0.0140897569603577,0.584213550566186,0.556819252293189
ENCODE,ENCFF826ECD,0.152601600501912,0.0346703095579083,0.00362409050551225,40.9689484321709,34.358780342348,0.242152510008373,0.0285189881159695,0.0130860226732615,0.584885287924394,0.557924535123978
PeakPass,ENCFF921UWK,0.343969808309645,0.246278198577759,0.0434002321075577,99.3437941751508,73.7946244475172,0.251002972605564,0.0336765015457476,0.0201727063472182,0.605896232760542,0.576157883676447
control,ENCFF921UWK,0.551259027719486,0.243268396859436,0.042339098321542,99.3437941751508,80.7306830798915,0.247223714772591,0.0330492452212182,0.0197127749034955,0.589770300082659,0.560743165307394
PeakPass,ENCFF616NXH,0.347744754829708,0.212251294601082,0.00486871614154172,34.516635213905,128.202691549072,0.27569282651234,0.0337816315207305,0.0145287003067387,0.605645133523353,0.57737187772284
ENCODE,ENCFF921UWK,0.367243759942818,0.243981218414714,0.0424777922059183,99.3437941751508,80.7306830798915,0.248016703614372,0.0331575075219555,0.0197773497629419,0.591686151147996,0.562563929650673
