experiment,NSC-Control,RSC-Control,NSC-ENCODE,RSC-ENCODE,NSC-PeakPass,RSC-PeakPass
ENCFF751NUI,1.03956076475075,1.08424505260918,1.03943626799866,1.08548234707467,1.04030752195839,1.78298507493999
ENCFF757VQN,1.05960851298085,1.33661318274514,1.05932933659084,1.3460901238642,1.05971995691942,2.50176484339581
ENCFF772VSQ,1.40969781970524,1.9931594341431,1.40969781970524,1.9931594341431,1.41257522006803,2.02169209355193
ENCFF774XWQ,1.05109633299237,0.480931038220007,1.04994035880323,0.480652931688513,1.04772213112381,0.72069966056945
ENCFF793MBH,1.09116181016,4.14112568972633,1.09692944151719,3.31191552832508,1.08980960160012,3.9924095569187
ENCFF807KJE,1.11590056011993,1.27931215601327,1.11563475668294,1.28518959868355,1.11722832281649,1.33758367516707
ENCFF817LMJ,1.13484841136204,1.34099719707237,1.13238375215806,1.35153915777046,1.13643835812095,1.82978578182347
ENCFF822ESO,1.66951040839907,2.18246836298717,1.67036730549856,2.18997646676758,1.72729115755578,2.43958311049773
ENCFF826ECD,1.02915234182488,0.91528124102816,1.02902658721622,0.925627181801694,1.02630427202644,1.26718507877409
ENCFF839ARD,1.05255891085748,0.945999248968668,1.05196474484467,0.958238680663312,1.05136262445376,1.19437957516414
ENCFF852FET,1.08313054389509,3.95575510168897,1.0828578974246,3.99771547856176,1.0755298971782,5.51569742000346
ENCFF861AUH,2.22302102099204,1.37577071598025,2.22325077676581,1.37585296654515,2.23742396003149,1.37709510348162
ENCFF861CNC,2.50655702393338,1.49632268042413,2.51127711901665,1.49686974895347,2.62586065939372,1.54422565573902
ENCFF873CGO,1.26063527297411,2.12250299738762,1.26063527297411,2.12250299738762,1.26183887771805,2.15620849052516
ENCFF877JAH,1.13993984686641,0.767538617133094,1.13796641918628,0.782536475566815,1.14409101556964,1.01209745568538
ENCFF880WAM,1.37375352274532,2.0991274501057,1.3730015100273,2.12877193237884,1.39844493943528,2.46778680891233
ENCFF898NMW,1.17137764762173,2.25601381211131,1.17154032630409,2.28840935381533,1.17586444950646,2.40779423873288
ENCFF900RPG,1.05247346488639,0.708382912539666,1.05225830492323,0.715130687811,1.0474714926592,1.4054697938411
ENCFF900VKF,1.01448792978498,0.432439258536325,1.01418885305475,0.441172683517857,1.01238023520082,0.791773304853797
ENCFF919IIQ,1.03508076862988,0.764435685218674,1.03514468232763,0.784422678371546,1.03461824837889,1.36112751984423
ENCFF921UWK,1.12146647583759,1.89614220081164,1.12202651213294,1.90734987394887,1.12384268954203,2.1812194512899
ENCFF953GCB,1.12196672187332,2.21414762192402,1.12172833843658,2.21640344968145,1.11836975518438,2.47753102274914
