Algorithm,Sensitivity,Specificity,Precision,FMeasure,NormalPrecision,NormalFMeasure,AUCROC
rpart,0.891,0.963,0.0749,0.138,1,0.981,0.932,0.486
knn,0.927,0.925,0.0547,0.103,1,0.961,0.977,0.605
knn,0.899,0.937,0.0662,0.123,0.999,0.967,0.971,0.551
randomForest,0.887,0.97,0.0906,0.164,1,0.984,0.988,0.606
svmRadial,0.854,0.973,0.0984,0.176,0.999,0.986,0.975,0.57
knn,0.851,0.959,0.0617,0.115,1,0.979,0.956,0.518
svmLinear,0.916,0.943,0.0616,0.115,1,0.97,0.977,0.224
rpart,0.888,0.962,0.0869,0.158,1,0.98,0.949,0.101
knn,0.833,0.948,0.0314,0.0605,1,0.973,0.955,0.438
naiveBayes,0.791,0.945,0.0344,0.066,0.999,0.971,0.935,0.0639
randomForest,0.924,0.974,0.128,0.225,1,0.987,0.989,0.633
svmRadial,0.743,0.969,0.0887,0.159,0.999,0.984,0.973,0.357
rpart,0.93,0.944,0.0471,0.0897,1,0.971,0.938,0.488
svmLinear,0.924,0.949,0.0513,0.0972,1,0.974,0.97,0.367
randomForest,0.932,0.963,0.0695,0.129,1,0.981,0.986,0.669
knn,0.922,0.953,0.0549,0.104,1,0.976,0.977,0.556
svmRadial,0.794,0.961,0.0568,0.106,0.999,0.98,0.975,0.369
svmLinear,0.929,0.937,0.0389,0.0746,1,0.967,0.975,0.273
naiveBayes,0.925,0.919,0.0433,0.0828,1,0.958,0.968,0.122
randomForest,0.935,0.958,0.0581,0.109,1,0.979,0.989,0.691
rpart,0.935,0.952,0.0511,0.0968,1,0.975,0.959,0.486
svmRadial,0.853,0.949,0.0443,0.0842,1,0.974,0.974,0.258
knn,0.925,0.941,0.0496,0.0941,1,0.97,0.98,0.555
svmLinear,0.886,0.96,0.071,0.132,1,0.979,0.974,0.138
knn,0.924,0.945,0.0616,0.115,1,0.972,0.976,0.546
naiveBayes,0.9,0.939,0.0478,0.0908,1,0.968,0.962,0.0884
rpart,0.798,0.969,0.0823,0.149,0.999,0.984,0.931,0.418
randomForest,0.898,0.972,0.0979,0.177,1,0.985,0.988,0.596
svmRadial,0.853,0.979,0.12,0.211,0.999,0.989,0.976,0.525
naiveBayes,0.913,0.922,0.046,0.0876,1,0.959,0.965,0.158
svmLinear,0.946,0.942,0.0572,0.108,1,0.97,0.979,0.294
rpart,0.877,0.948,0.0587,0.11,1,0.973,0.937,0.475
randomForest,0.903,0.961,0.0788,0.145,1,0.98,0.988,0.644
svmRadial,0.812,0.959,0.069,0.127,0.999,0.979,0.978,0.39
naiveBayes,0.922,0.851,0.018,0.0352,1,0.919,0.92,0.0487
svmLinear,0.954,0.942,0.047,0.0896,1,0.97,0.978,0.155
knn,0.863,0.961,0.0736,0.136,0.999,0.98,0.968,0.539
naiveBayes,0.939,0.922,0.0319,0.0618,1,0.959,0.968,0.12
randomForest,0.944,0.963,0.0719,0.134,1,0.981,0.988,0.615
rpart,0.908,0.955,0.0573,0.108,1,0.977,0.929,0.469
svmRadial,0.861,0.953,0.0525,0.099,1,0.976,0.977,0.483
svmLinear,0.868,0.958,0.0593,0.111,1,0.979,0.973,0.175
rpart,0.822,0.968,0.0725,0.133,0.999,0.984,0.926,0.424
svmRadial,0.854,0.973,0.0875,0.159,1,0.986,0.975,0.496
randomForest,0.847,0.973,0.088,0.159,1,0.986,0.986,0.567
naiveBayes,0.883,0.94,0.0478,0.0907,1,0.969,0.96,0.0823
svmLinear,0.923,0.947,0.0451,0.086,1,0.973,0.979,0.283
randomForest,0.934,0.966,0.0696,0.13,1,0.983,0.99,0.625
naiveBayes,0.946,0.915,0.0397,0.0762,1,0.956,0.961,0.117
rpart,0.928,0.96,0.059,0.111,1,0.98,0.964,0.463
svmRadial,0.789,0.956,0.046,0.087,0.999,0.977,0.974,0.321
knn,0.909,0.944,0.0535,0.101,1,0.971,0.974,0.56
naiveBayes,0.923,0.939,0.0438,0.0836,1,0.969,0.964,0.0686
naiveBayes,0.865,0.942,0.0434,0.0826,1,0.97,0.955,0.0878
knn,0.89,0.955,0.0637,0.119,1,0.977,0.974,0.55
naiveBayes,0.909,0.925,0.0318,0.0614,1,0.961,0.962,0.108
knn,0.925,0.941,0.0395,0.0758,1,0.97,0.978,0.524
knn,0.907,0.951,0.0532,0.101,1,0.975,0.978,0.564
knn,0.791,0.956,0.0433,0.0822,0.999,0.977,0.923,0.42
knn,0.9,0.942,0.0578,0.109,1,0.97,0.971,0.531
knn,0.878,0.966,0.0814,0.149,1,0.983,0.971,0.556
knn,0.888,0.945,0.0624,0.117,1,0.972,0.969,0.508
knn,0.924,0.94,0.0404,0.0775,1,0.969,0.978,0.563
knn,0.898,0.947,0.0475,0.0903,1,0.972,0.971,0.557
knn,0.867,0.967,0.0822,0.15,1,0.983,0.97,0.55
knn,0.926,0.937,0.0521,0.0986,1,0.968,0.977,0.521
knn,0.861,0.943,0.0435,0.0828,1,0.97,0.969,0.509
knn,0.863,0.957,0.0571,0.107,1,0.978,0.957,0.493
knn,0.915,0.937,0.038,0.0729,1,0.968,0.971,0.544
rpart,0.91,0.946,0.0471,0.0896,1,0.972,0.957,0.465
ann,0.941,0.914,0.0374,0.072,1,0.955,0.96,0.189
ann,0.918,0.916,0.031,0.06,1,0.956,0.961,0.0835
rpart,0.939,0.921,0.0406,0.0778,1,0.959,0.937,0.485
svmLinear,0.958,0.94,0.054,0.102,1,0.969,0.985,0.242
svmLinear,0.93,0.942,0.0453,0.0863,1,0.97,0.977,0.184
svmLinear,0.934,0.947,0.0656,0.123,1,0.973,0.977,0.187
svmRadial,0.882,0.952,0.0511,0.0965,1,0.975,0.981,0.398
svmRadial,0.871,0.951,0.0588,0.11,1,0.974,0.98,0.409
ann,0.848,0.967,0.0932,0.168,0.999,0.983,0.945,0.435
randomForest,0.936,0.963,0.0695,0.129,1,0.981,0.99,0.619
rpart,0.905,0.953,0.0703,0.13,1,0.976,0.935,0.051
randomForest,0.97,0.952,0.067,0.125,1,0.975,0.993,0.663
randomForest,0.937,0.962,0.0892,0.163,1,0.981,0.989,0.657
ann,0.881,0.971,0.134,0.232,0.999,0.985,0.967,0.146
rpart,0.893,0.969,0.124,0.218,0.999,0.984,0.942,0.503
svmRadial,0.919,0.958,0.0792,0.146,1,0.978,0.983,0.549
svmLinear,0.951,0.938,0.0714,0.133,1,0.968,0.977,0.245
svmRadial,0.809,0.955,0.0825,0.15,0.999,0.977,0.976,0.405
randomForest,0.947,0.969,0.131,0.23,1,0.984,0.992,0.684
svmLinear,0.891,0.961,0.0676,0.126,1,0.98,0.974,0.158
ann,0.924,0.92,0.0354,0.0682,1,0.958,0.952,0.0715
rpart,0.909,0.96,0.0669,0.125,1,0.979,0.964,0.468
randomForest,0.949,0.969,0.0896,0.164,1,0.984,0.99,0.645
svmRadial,0.851,0.973,0.0922,0.166,1,0.986,0.977,0.518
naiveBayes,0.909,0.937,0.0403,0.0773,1,0.967,0.961,0.086
svmLinear,0.858,0.955,0.0319,0.0615,1,0.977,0.97,0.0873
naiveBayes,0.954,0.91,0.0364,0.0701,1,0.953,0.975,0.127
ann,0.836,0.915,0.0166,0.0326,1,0.956,0.907,0.055
randomForest,0.902,0.969,0.0476,0.0905,1,0.984,0.986,0.469
rpart,0.826,0.967,0.0409,0.0779,1,0.983,0.948,0.434
naiveBayes,0.907,0.932,0.0503,0.0953,1,0.965,0.953,0.0739
svmRadial,0.83,0.969,0.0441,0.0837,1,0.984,0.976,0.403
naiveBayes,0.929,0.906,0.0469,0.0893,1,0.95,0.951,0.086
randomForest,0.954,0.959,0.0978,0.177,1,0.979,0.992,0.653
svmLinear,0.963,0.914,0.0497,0.0945,1,0.955,0.978,0.154
ann,0.902,0.962,0.101,0.181,1,0.981,0.953,0.467
rpart,0.936,0.94,0.0677,0.126,1,0.969,0.942,0.506
svmRadial,0.821,0.945,0.0648,0.12,0.999,0.971,0.976,0.367
naiveBayes,0.888,0.944,0.0479,0.091,1,0.971,0.956,0.0801
randomForest,0.959,0.957,0.0693,0.129,1,0.978,0.991,0.639
svmLinear,0.94,0.937,0.0472,0.0899,1,0.967,0.982,0.232
ann,0.974,0.887,0.028,0.0544,1,0.94,0.973,0.519
rpart,0.935,0.93,0.0425,0.0812,1,0.964,0.937,0.488
svmRadial,0.784,0.956,0.0565,0.105,0.999,0.977,0.975,0.328
naiveBayes,0.84,0.94,0.0236,0.0458,1,0.969,0.952,0.0551
randomForest,0.906,0.968,0.0744,0.138,1,0.983,0.985,0.617
svmLinear,0.888,0.955,0.0536,0.101,1,0.977,0.974,0.139
naiveBayes,0.933,0.901,0.0422,0.0807,1,0.948,0.965,0.115
ann,0.951,0.878,0.0218,0.0426,1,0.935,0.954,0.424
